FORBES AVE AT MOREWOOD AVE FS (CARNEGIE MELLON), squill
STANTON AVE AT CHISLETT ST, east_liberty
DARRAGH ST AT FIFTH AVE, oakland
CRAIG ST AT BAUM BLVD, oakland
CENTRE AVE AT DITHRIDGE ST, oakland
CENTRE AVE AT MELWOOD AVE, oakland
FIFTH AVE AT MOULTRIE ST, oakland
ELLSWORTH AVE AT COLLEGE ST, shadyside
BENTLEY DR AT KIRKPATRICK ST, oakland
JANCEY ST AT HAMPTON ST, east_liberty
NEGLEY AVE AT HAMPTON ST, east_liberty
BEACON ST AT MURDOCH ST FS, squill
FRIENDSHIP AVE AT PEARL ST, oakland
FIFTH AVE AT THACKERAY AVE, oakland
PENN AVE OPP EASTSIDE III DR (TARGET), shadyside
REED ST AT ADDISON ST, oakland
FORBES AVE OPP MOREWOOD AVE (CARNEGIE MELLON), squill
E CARSON ST OPP STATION SQUARE STATION, downtown
ALLEQUIPPA ST AT ROBINSON ST, oakland
BAUM BLVD AT MILLVALE AVE, oakland
OLIVER AVE AT WILLIAM PENN PL, strip
BELLEFIELD AVE AT BOARD OF EDUCATION, oakland
TERRACE ST AT OAK HILL DR, oakland
CENTRE AVE AT MELWOOD AVE, oakland
FIFTH AVE AT MOREWOOD AVE, shadyside
EAST BUSWAY AT PENN STATION C, strip
SIXTH AVE AT WOOD ST, downtown
LIBERTY AVE AT 6TH ST NS (SHELTER), downtown
FRIENDSHIP AVE AT MILLVALE AVE, oakland
PENN AVE AT FIFTH AVE, east_liberty
EAST LIBERTY BLVD AT NEGLEY RUN BLVD, east_liberty
ELLSWORTH AVE AT NEVILLE ST, oakland
GATEWAY STATION, downtown
BLACK ST AT CHISLETT ST, east_liberty
BLACK ST AT NEGLEY AVE, east_liberty
FIFTH AVE OPP BEECHWOOD BLVD, east_liberty
TERRACE ST AT WHITRIDGE ST, oakland
FIFTH AVE AT ROBINSON ST, oakland
NEGLEY AVE AT KENTUCKY AVE NS, shadyside
SIXTH AVE AT CENTRE AVE, strip
ELLSWORTH AVE AT GRAHAM ST, shadyside
CRAIG ST AT FIFTH AVE, oakland
PENN AVE AT NEGLEY AVE, east_liberty
FORBES AVE AT JUMONVILLE ST, oakland
MURRAY AVE AT BARTLETT ST, squill
BLVD OF ALLIES AT HALKET ST FS, oakland
BEATTY ST AT PENN AVE NS, east_liberty
LIBERTY AVE AT WYNDHAM GRAND HOTEL, downtown
FIFTH AVE AT MEYRAN AVE, oakland
CENTRE AVE AT MOREWOOD AVE, shadyside
FIFTH AVE AT BELLEFONTE ST, shadyside
SMITHFIELD ST AT FT PITT BLVD, downtown
PENN AVE AT FAIRMOUNT ST, east_liberty
ORION ST AT MILWAUKEE ST, oakland
FORBES AVE AT GIST ST, oakland
BEELER ST AT #5362, squill
ELLSWORTH AVE AT GRAHAM ST, shadyside
WOOD ST AT SIXTH AVE FS, downtown
BEACON ST AT WENDOVER ST, squill
SHADY AVE AT NORTHUMBERLAND ST, squill 
BEDFORD AVE OPP DEVILLIERS ST, strip 
OAK HILL DR AT BENTLEY DR, oakland
CRAIG ST AT FIFTH AVE, oakland
CENTRE AVE AT AVALON ST, oakland
LARMIER AVE AT WINSLOW ST, east_liberty
NEGLEY AVE AT EAST BUSWAY STEPS, shadyside
HIGHLAND AVE AT STANTON AVE, east_liberty
LIBERTY AVE AT FIFTH AVE, downtown
DESOTO ST AT O'HARA ST, oakland
CENTRE AVE OPP BRYN MAWR RD, oakland
SIXTH AVE AT FIFTH AVE, downtown
STANTON AVE AT CHISLETT ST, east_liberty
FIFTH AVE AT #2410 (ACTA PROGRAM), oakland
WOOD STREET STATION, downtown
BLVD OF ALLIES AT SMITHFIELD ST, downtown
FIFTH AVE AT BIRMINGHAM BRIDGE, oakland
LIBERTY AVE AT EDMOND ST, oakland
BEELER ST AT FORBES AVE FS, squill
FIFTH AVE OPP THACKERAY AVE, oakland
BLVD OF ALLIES AT SMITHFIELD ST, downtown
BRERETON ST AT POLISH FALCONS, strip
MILWAUKEE ST AT ORION ST, oakland
STEEL PLAZA STATION, strip
WADSWORTH ST AT ROBINSON ST, oakland
