TILBURY AVE OPP WALDRON ST FS,40.428579, -79.922383, squill
BENTLEY DR AT BURROWS ST,40.436666, -79.975584, oakland
CENTRE AVE AT CIVIC ARENA EAST LOT,40.444420, -79.995385, strip
FIFTH AVE AT COLLEGE ST,40.441347, -79.934984, squill
GATEWAY STATION,40.437330, -80.007558, downtown
BLACK ST AT AIKEN AVE,40.468905, -79.932637, east_liberty
CRAIG ST AT CENTRE AVE,40.453469, -79.955240, oakland
GATEWAY STATION,40.437330, -80.007558, downtown
NEGLEY AVE AT STANTON AVE,40.468905, -79.932637, east_liberty
MILLVALE AVE AT BAUM BLVD,40.453469, -79.955240, oakland
NEGLEY AVE AT CLAYBOURNE ST,40.449981, -79.937537, shadyside
PENN AVE AT 27TH ST,40.452255, -79.981337, strip
STANTON AVE AT CHISLETT ST,40.468905, -79.932637, east_liberty
FIFTH AVE AT MCKEE PL FS,40.436544, -79.966343, oakland
BENTLEY DR AT OAK HILL DR,40.436666, -79.975584, oakland
ELLSWORTH AVE AT MOREWOOD AVE,40.447303, -79.948996, shadyside
STANTON AVE AT #5013,40.468905, -79.932637, east_liberty
LIBERTY AVE OPP 14TH ST,40.444420, -79.995385, strip
MILLVALE AVE AT CENTRE AVE,40.453469, -79.955240, oakland
MILLVALE AVE AT MOREWOOD AVE,40.453469, -79.955240, oakland
FORBES AVE AT BEECHWOOD BLVD,40.437493, -79.921552, squill 
CRAIG ST OPP BIGELOW BLVD,40.453469, -79.955240, oakland
GRANT ST AT LIBERTY AVE FS (FED BLDG),40.444420, -79.995385, strip
BEACON ST AT MURDOCH ST FS,40.429166, -79.935796, squill
STEEL PLAZA STATION,40.444420, -79.995385, strip
CENTRE AVE OPP MORGAN ST,40.439911, -79.967237, oakland
SECOND AVE OPP BATES ST FS,40.436544, -79.966343, oakland
CENTRE AVE AT DITHRIDGE ST,40.453469, -79.955240, oakland
NEGLEY AVE OPP RIPPEY ST FS,40.468905, -79.932637, east_liberty
